Model,BLEU,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,METEOR
mistral-nemo_12b-instruct-2407-q4_K_M,0.04480525516720623,0.31791491313114295,0.8422206728546707,0.8921742251625767,0.865651230569239,0.4086031769922454
deepseek-r1_7b,0.009989637523002127,0.06253418879336747,0.7739795479509566,0.8482012078166008,0.8090202576584287,0.16305471957958814
deepseek-r1_1.5b,0.009685949266489314,0.05635987613988616,0.7705426519667661,0.8418993524931095,0.8042589183206912,0.15022784932090597
llama2_13b-chat,0.044827053920345764,0.27656969831781986,0.8458607188529439,0.8855911275302922,0.8646836642313886,0.3899347184348858
mistral_7b-instruct,0.057250738452168826,0.34122298131518364,0.8612203153747099,0.8950947481724951,0.8771679768407786,0.43963517033080857
mistrallite_latest,0.25991806796320616,0.33475333613415714,0.8565112286143832,0.8607510606999751,0.8576504635038199,0.287099280440629
llama3.1_latest,0.12234479700989531,0.33664221733770494,0.8420176194221886,0.9054746903755047,0.8719567673073875,0.4884841548830038
gemma_7b-instruct,0.07001897661497203,0.28466951786774886,0.8585101103893032,0.8790221882087214,0.8680405641595522,0.36243072572914165
llama3.2_3b-instruct-q4_K_M,0.13493791059380258,0.4147147361145892,0.8639357978547061,0.9131918723384539,0.8870609242607046,0.5282152610771198
llama2_latest,0.009647744056751213,0.30000515281025414,0.854811678606051,0.8907561128338178,0.8716817084285948,0.3928327611980646
medllama2_latest,0.06203415935654979,0.30882889518605877,0.8580494771401087,0.8876083758142259,0.8719001431707982,0.4103280853658445
mistral-nemo_latest,0.055401287282982,0.34451256859701873,0.850903684342349,0.8924354742522593,0.8702389266755846,0.42595983926917097
tinyllama,0.025465747624877792,0.19533928400648687,0.8253854722888382,0.8688979882884909,0.8459656382048572,0.3121366853420483
mistral,0.06538669625478506,0.33989851222155454,0.8554939991898007,0.8942759213624177,0.8735965642112272,0.4358047086802603
