Model,BLEU,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,METEOR
mistral-nemo_12b-instruct-2407-q4_K_M,0.061290904039923225,0.32578944437609847,0.8390800577978934,0.8947874057677484,0.8652797370187698,0.41938339575413003
deepseek-r1_7b,0.011343584060577174,0.06359503501006572,0.7748988136168449,0.8489285495973402,0.8099282124350148,0.16094022281549067
deepseek-r1_1.5b,0.011503087651164812,0.05299282365304277,0.7730240129655407,0.849294601909576,0.809091990993869,0.13556588407631662
llama2_13b-chat,0.05442883312563856,0.2687293258023077,0.8446256893296396,0.8920546702800258,0.8671972213252899,0.3979105533599515
mistral_7b-instruct,0.09080392606460104,0.37784886104624593,0.8690048052418616,0.9055596580428462,0.8862737167266107,0.4441803260585317
llama3.1_latest,0.07078439514533023,0.24584348121762717,0.8225736502678164,0.8926383699140241,0.8557428092725815,0.3875698846278298
gemma_7b-instruct,0.10654963713214698,0.3472772106647891,0.8627006844166787,0.891432261274707,0.8764429669226369,0.4088963004954632
llama3.2_3b-instruct-q4_K_M,0.07202113845595667,0.30984492023957594,0.8371358119672344,0.8922442947664568,0.8632475464574753,0.39608346307840236
llama2_latest,0.05368787840749491,0.2814126901544958,0.8494205744035782,0.8927580204702192,0.8700304569736603,0.37400449119858303
medllama2_latest,0.07530711284310633,0.2945817951675489,0.8614878241092928,0.8882145737448046,0.8741425881462712,0.36606744635242433
mistral-nemo_latest,0.07705673214736283,0.3571754557769134,0.8465635372746375,0.8978827413051359,0.8706411094434799,0.400297543074429
tinyllama,0.025726548000967103,0.18350485278986395,0.8231224052367672,0.8664185049072388,0.8437610922321197,0.28692451369820365
mistral,0.09685041066859582,0.37239311149424864,0.8595798015594482,0.9054895610578598,0.8809342499702207,0.4504735686377185
mistral-nemo_12b-instruct-2407-q4_K_M,0.07739472326546717,0.3798688194422228,0.849943304779353,0.9043071954338638,0.8752558587325944,0.4679681339604915
deepseek-r1_7b,0.01260501214190807,0.06548925217043668,0.774366499097259,0.8530100724763341,0.811460331082344,0.17182187833098428
deepseek-r1_1.5b,0.01074147905460479,0.05457893778092851,0.7713925350043509,0.8510085330517204,0.808953348685194,0.1465718131636314
llama2_13b-chat,0.05566587638004717,0.2865905188560893,0.8440598547458649,0.8992121837757252,0.8701603553361363,0.43143243792113944
mistral_7b-instruct,0.09986974978001283,0.395553800768557,0.8658801844274556,0.9121069320374064,0.8875212793548902,0.5045341722885299
mistrallite_latest,0.19277200771624636,0.2694933626624585,0.8423263907984451,0.8481055718881113,0.8440324699989071,0.2046378916723479
llama3.1_latest,0.06779348184230863,0.26980428750185526,0.8199600734644465,0.8961830313007036,0.8557280023340825,0.41481002456419924
gemma_7b-instruct,0.10593048463700695,0.3698028899753658,0.8631920276416672,0.8954512678362705,0.8783704392887928,0.4280732955617282
llama3.2_3b-instruct-q4_K_M,0.08396824168950381,0.32605144300231825,0.8384879504640897,0.9006727053611366,0.8676083808143934,0.4517506556069654
llama2_latest,0.057072619071023685,0.3034802062624209,0.8477739015663112,0.9021293206347359,0.8733163128296534,0.42361906276764455
medllama2_latest,0.06915866423693999,0.29809661588061526,0.8502816356442593,0.8922691287265884,0.870031885250851,0.41208707051736687
mistral-nemo_latest,0.10643591393532933,0.41201828729541046,0.8619392784657302,0.9076048563475962,0.8832667870102106,0.4935302917839677
tinyllama,0.026900469828122147,0.2064131141299459,0.8293635897614338,0.8752692303171864,0.851072746846411,0.3111864691415522
mistral,0.1061789626735624,0.409556986163626,0.8638870528450718,0.9134928244683478,0.887057150679606,0.509349763038795
